quote_id,mpan,quote_rate_p_per_kwh,generated_at,valid_until,status,notes
Q-70803,74 5076 5250 913,27.88,2026-08-28,2026-09-13,Priced,
Q-70804,0757-6061-06505,24.62,2026-08-28,2026-09-15,Priced,
Q-70805,6656-9136-02265,22.84,2026-09-01,2026-09-11,Priced,
Q-70806,3587955343645,17.01,2026-08-31,09/09/2026,Priced,
Q-70807,75 6832 6775 355,30.67,2026-08-30,2026-09-14,Priced,
Q-70808,2702915815531,20.43,2026-08-26,2026-09-05,Priced,
Q-70809,8103-6772-84807,28.49,2026-08-27,15/09/2026,Priced,
Q-70810,6826215278490,21.9,2026-08-29,2026-09-13,Priced,
Q-70811,5353568897622,22.98,2026-08-31,2026-09-15,Priced,
Q-70812,87 3252 7164 985,28.12,2026-09-01,2026-09-11,Priced,
Q-70813,2765-3081-97934,21.97,2026-08-29,2026-09-04,Priced,
Q-70814,6154-5520-40337,23.33,2026-08-27,13/09/2026,Priced,
Q-70815,2462-0159-16696,23.2,2026-08-30,12/09/2026,Priced,
Q-70816,5866437001733,23.88,2026-08-27,14/09/2026,Priced,
Q-70817,1302646314119,29.03,2026-08-27,2026-09-06,Priced,
Q-70818,1361164223620,25.45,2026-08-27,11/09/2026,Priced,
Q-70819,7629-4751-58522,18.78,2026-08-29,10/09/2026,Priced,
Q-70820,4696-5023-58525,,2026-08-31,07/09/2026,Errored,Pricing engine returned no rate
Q-70821,48 8391 4789 505,19.56,2026-08-26,13/09/2026,Priced,
Q-70822,5288731814652,21.05,2026-09-01,2026-09-12,Priced,
Q-70823,0223167798466,31.54,2026-08-29,15/09/2026,Priced,
Q-70824,91 2049 6119 377,21.74,2026-08-30,2026-09-13,Priced,
Q-70825,4531259868510,33.7,2026-08-30,2026-09-04,Priced,
Q-70826,1689-6602-33345,19.29,2026-08-28,2026-09-04,Priced,
Q-70827,7672106000503,30.22,2026-09-01,2026-09-06,Priced,
Q-70828,0451-3610-91387,24.35,2026-08-26,2026-09-10,Priced,
Q-70829,8559470808713,23.9,2026-08-26,2026-09-06,Priced,
Q-70830,9498778990220,30.02,2026-08-29,08/09/2026,Priced,
Q-70831,1590004574604,,2026-08-29,07/09/2026,Errored,Timeout fetching consumption data
Q-70832,8713392238275,28.51,2026-08-29,05/09/2026,Priced,
Q-70833,7915985565403,25.24,2026-09-01,2026-09-12,Priced,
Q-70834,3285-6984-71895,20.91,2026-09-01,10/09/2026,Priced,
Q-70835,88 1889 0436 503,24.89,2026-08-31,12/09/2026,Priced,
Q-70836,6043537189777,24.11,2026-08-29,2026-09-14,Priced,
Q-70837,0633-8591-00943,27.1,2026-08-28,2026-09-12,Priced,
Q-70838,9290-9697-69312,25.2,2026-08-27,14/09/2026,Priced,
Q-70839,2409005012836,28.92,2026-08-26,14/09/2026,Priced,
Q-70840,7661084991139,31.37,2026-08-27,2026-09-07,Priced,
Q-70841,47 0260 3910 436,,2026-08-28,2026-09-15,Errored,Timeout fetching consumption data
Q-70842,16 1582 8045 708,27.9,2026-08-31,2026-09-04,Priced,
Q-70843,75 5980 5456 053,25.97,2026-08-27,2026-09-05,Priced,
Q-70844,9783-0979-48339,16.48,2026-08-30,15/09/2026,Priced,
Q-70845,68 4058 6822 956,20.47,2026-08-31,2026-09-04,Priced,
Q-70846,7150-9222-84467,28.23,2026-08-28,2026-09-05,Priced,
Q-70847,7069874323969,27.55,2026-09-01,2026-09-06,Priced,
Q-70848,8951287796804,31.16,2026-08-30,2026-09-05,Priced,
Q-70849,7373971208536,20.31,2026-08-28,2026-09-05,Priced,
Q-70850,30 5243 5305 441,29.26,2026-08-30,2026-09-10,Priced,
Q-70851,1157-5620-98324,29.39,2026-09-01,14/09/2026,Priced,
Q-70852,05 6341 8186 406,18.52,2026-08-31,04/09/2026,Priced,
Q-70853,0068-3861-32558,23.41,2026-08-28,2026-09-15,Priced,
Q-70854,5610247759056,26.57,2026-08-28,2026-09-10,Priced,
Q-70855,01 4275 3799 813,16.69,2026-08-27,2026-09-10,Priced,
Q-70856,2973479920290,20.6,2026-08-28,10/09/2026,Priced,
Q-70857,8722-6132-91445,30.26,2026-09-01,14/09/2026,Priced,
Q-70858,8181-5727-17074,20.59,2026-08-31,2026-09-07,Priced,
Q-70859,0645545626267,21.7,2026-08-29,10/09/2026,Priced,
Q-70860,55 7377 0451 419,,2026-08-27,2026-09-06,Errored,Pricing engine returned no rate
Q-70861,4315-4035-23794,22.95,2026-08-31,09/09/2026,Priced,
Q-70862,56 3928 7232 665,28.05,2026-08-31,2026-09-15,Priced,
Q-70863,27 9257 3825 552,18.94,2026-08-30,12/09/2026,Priced,
Q-70864,41 5292 7302 826,20.9,2026-08-30,2026-09-04,Priced,
Q-70865,4259321484318,22.98,2026-08-27,2026-09-11,Priced,
Q-70866,34 6508 7564 937,21.45,2026-08-26,13/09/2026,Priced,
Q-70867,0856579702948,21.42,2026-08-31,06/09/2026,Priced,
Q-70868,5180282611345,25.83,2026-08-29,08/09/2026,Priced,
Q-70869,7110282845758,22.7,2026-08-27,10/09/2026,Priced,
Q-70870,99 3975 1629 433,18.66,2026-09-01,2026-09-09,Priced,
Q-70871,95 9783 7279 482,26.43,2026-09-01,2026-09-10,Priced,
Q-70872,0458-0674-57803,26.4,2026-08-29,2026-09-13,Priced,
Q-70873,10 3214 5524 250,27.02,2026-08-29,12/09/2026,Priced,
Q-70874,16 1393 7768 469,22.15,2026-08-27,2026-09-08,Priced,
Q-70875,8142283060026,20.81,2026-09-01,2026-09-07,Priced,
Q-70876,07 5095 5164 686,19.06,2026-09-01,2026-09-10,Priced,
Q-70877,4673233024276,30.46,2026-09-01,2026-09-12,Priced,
Q-70878,87 7205 1976 498,22.03,2026-09-01,12/09/2026,Priced,
Q-70879,45 8672 5629 809,27.37,2026-09-01,2026-09-13,Priced,
Q-70880,35 2812 4563 410,18.12,2026-08-26,2026-09-07,Priced,
Q-70881,0174815841895,28.49,2026-08-26,15/09/2026,Priced,
Q-70882,04 6250 4438 761,21.5,2026-09-01,08/09/2026,Priced,
Q-70883,31 0664 2285 642,24.32,2026-09-01,2026-09-08,Priced,
Q-70884,4748-2064-32559,21.98,2026-08-30,05/09/2026,Priced,
Q-70885,69 8180 7577 905,31.47,2026-08-30,2026-09-06,Priced,
Q-70886,28 1259 2071 788,24.42,2026-08-30,12/09/2026,Priced,
Q-70887,41 7236 0511 881,29.55,2026-08-26,05/09/2026,Priced,
Q-70888,8020-1058-02389,,2026-09-01,14/09/2026,Errored,Pricing engine returned no rate
Q-70889,8017499642246,26.87,2026-08-27,2026-09-13,Priced,
Q-70890,99 4526 5774 107,36.64,2026-09-01,13/09/2026,Priced,
Q-70891,8139843997713,24.34,2026-08-28,04/09/2026,Priced,
Q-70892,6768882972541,,2026-08-28,08/09/2026,Errored,Pricing engine returned no rate
Q-70893,50 4214 1069 135,28.74,2026-08-26,12/09/2026,Priced,
Q-70894,3750868623721,26.58,2026-08-26,04/09/2026,Priced,
Q-70895,3731787458201,17.99,2026-08-28,2026-09-06,Priced,
Q-70896,6912993944842,24.7,2026-08-28,2026-09-12,Priced,
Q-70897,5883665844908,33.42,2026-08-26,05/09/2026,Priced,
Q-70898,8264-6061-60877,22.86,2026-08-26,2026-09-10,Priced,
Q-70899,0818-4750-96442,26.16,2026-08-31,2026-09-07,Priced,
Q-70900,6901-4732-20321,19.1,2026-08-28,14/09/2026,Priced,
Q-70901,6979506200712,28.26,2026-08-30,2026-09-05,Priced,
Q-70902,3367968122010,21.88,2026-08-26,2026-09-07,Priced,
Q-70903,3082759928946,23.44,2026-08-29,06/09/2026,Priced,
Q-70904,55 9007 8068 514,,2026-08-26,2026-09-10,Errored,Pricing engine returned no rate
Q-70905,8950801517509,19.73,2026-08-27,11/09/2026,Priced,
Q-70906,3940367822998,24.43,2026-08-28,2026-09-13,Priced,
Q-70907,5574738476229,24.18,2026-09-01,2026-09-08,Priced,
Q-70908,7636510660088,23.35,2026-08-26,2026-09-12,Priced,
Q-70909,17 9545 9240 950,17.05,2026-08-29,2026-09-07,Priced,
Q-70910,1113605805701,27.74,2026-08-29,14/09/2026,Priced,
Q-70911,2299-6966-04913,30.34,2026-09-01,07/09/2026,Priced,
Q-70912,1135689526357,27.74,2026-08-30,15/09/2026,Priced,
Q-70913,9251-7643-33358,30.08,2026-08-29,15/09/2026,Priced,
Q-70914,9819-1187-84926,21.68,2026-08-26,12/09/2026,Priced,
Q-70915,4431530531998,20.98,2026-08-28,11/09/2026,Priced,
Q-70916,5362-0121-15347,24.1,2026-08-27,2026-09-06,Priced,
Q-70917,18 8413 4502 105,20.39,2026-08-31,09/09/2026,Priced,
Q-70918,4946045168087,26.68,2026-08-29,11/09/2026,Priced,
Q-70919,2236494094033,25.54,2026-08-26,2026-09-14,Priced,
Q-70920,4818-8849-25115,21.04,2026-09-01,11/09/2026,Priced,
Q-70921,2421-8622-43777,20.41,2026-08-29,2026-09-13,Priced,
Q-70922,0809486246554,32.41,2026-08-27,2026-09-14,Priced,
Q-70923,6182-9144-49548,30.49,2026-08-29,2026-09-11,Priced,
Q-70924,34 6714 0361 164,22.04,2026-08-28,14/09/2026,Priced,
Q-70925,96 7322 8889 800,26.35,2026-08-31,2026-09-09,Priced,
Q-70926,11 3632 7141 268,23.22,2026-08-27,08/09/2026,Priced,
Q-70927,0926-4817-51022,19.58,2026-08-27,2026-09-13,Priced,
Q-70928,3618-0060-49870,25.82,2026-09-01,2026-09-07,Priced,
Q-70929,6363630481948,26.61,2026-08-31,14/09/2026,Priced,
Q-70930,9497717532267,17.23,2026-08-28,2026-09-09,Priced,
Q-70931,79 9479 4971 770,26.27,2026-08-27,04/09/2026,Priced,
Q-70932,2961-1645-72221,21.05,2026-08-31,2026-09-15,Priced,
Q-70933,6353705047793,31.92,2026-09-01,2026-09-07,Priced,
Q-70934,48 8349 1930 416,29.12,2026-08-26,12/09/2026,Priced,
Q-70935,6035-0443-51121,20.85,2026-08-31,08/09/2026,Priced,
Q-70936,07 8096 0114 902,24.62,2026-08-31,05/09/2026,Priced,
Q-70937,0015132572982,29.26,2026-08-28,2026-09-07,Priced,
Q-70938,2250-2791-63919,22.59,2026-08-28,2026-09-06,Priced,
Q-70939,97 3025 0487 507,26.32,2026-08-27,2026-09-15,Priced,
Q-70940,9392188328429,28.21,2026-08-27,2026-09-06,Priced,
Q-70941,5286957880736,28.47,2026-09-01,2026-09-10,Priced,
Q-70942,8632992144687,22.93,2026-08-26,08/09/2026,Priced,
Q-70943,14 2184 7705 088,24.44,2026-08-27,2026-09-12,Priced,
Q-70944,3272080096492,17.52,2026-08-29,2026-09-14,Priced,
Q-70945,69 5263 8375 525,31.19,2026-09-01,14/09/2026,Priced,
Q-70946,34 6206 4714 024,24.78,2026-08-26,2026-09-15,Priced,
Q-70947,9939624007014,20.45,2026-08-29,09/09/2026,Priced,
Q-70948,83 8787 1828 334,33.34,2026-08-27,10/09/2026,Priced,
Q-70949,5710586124978,24.68,2026-08-27,10/09/2026,Priced,
Q-70950,4333594670388,23.69,2026-08-31,2026-09-04,Priced,
Q-70951,4326-6392-89852,26.35,2026-09-01,07/09/2026,Priced,
Q-70952,5620-4935-64079,27.43,2026-08-27,2026-09-06,Priced,
Q-70953,39 5886 1685 422,18.98,2026-08-29,07/09/2026,Priced,
Q-70954,4914596775716,25.75,2026-08-29,14/09/2026,Priced,
Q-70955,11 2374 2748 049,20.28,2026-09-01,2026-09-07,Priced,
Q-70956,16 8039 0226 898,18.43,2026-08-30,2026-09-13,Priced,
Q-70957,3597-4471-95197,29.84,2026-08-30,12/09/2026,Priced,
Q-70958,9056933850467,22.89,2026-08-28,2026-09-08,Priced,
Q-70959,9053330967454,19.67,2026-08-30,12/09/2026,Priced,
Q-70960,4688040950350,29.78,2026-08-30,15/09/2026,Priced,
Q-70961,7019-5222-78302,21.0,2026-08-26,13/09/2026,Priced,
Q-70962,7577638926657,21.39,2026-08-31,2026-09-04,Priced,
Q-70963,5554363410165,30.95,2026-08-28,2026-09-08,Priced,
Q-70964,0704053697969,16.46,2026-08-26,05/09/2026,Priced,
Q-70965,0184441221792,20.9,2026-08-26,08/09/2026,Priced,
Q-70966,1412-5539-25891,21.9,2026-08-28,12/09/2026,Priced,
Q-70967,9203-8211-79140,,2026-08-28,2026-09-10,Errored,Pricing engine returned no rate
Q-70968,4282862470132,29.36,2026-08-28,2026-09-14,Priced,
Q-70969,76 7523 2374 634,25.13,2026-08-30,2026-09-04,Priced,
Q-70970,2176035814528,21.99,2026-08-29,2026-09-13,Priced,
Q-70971,6285-4272-57873,18.77,2026-08-28,05/09/2026,Priced,
Q-70972,72 8181 1011 911,28.14,2026-08-27,2026-09-11,Priced,
Q-70973,7347521051455,28.27,2026-08-29,2026-09-07,Priced,
Q-70974,3158-5361-00302,20.38,2026-09-01,2026-09-06,Priced,
Q-70975,1885394051506,23.48,2026-08-27,2026-09-09,Priced,
Q-70976,55 8533 1554 781,21.17,2026-08-30,12/09/2026,Priced,
Q-70977,5788834608362,28.76,2026-08-30,15/09/2026,Priced,
Q-70978,2557-5338-66264,26.09,2026-08-31,2026-09-04,Priced,
Q-70979,4907-9131-39293,24.47,2026-08-26,10/09/2026,Priced,
Q-70980,0781772895656,19.4,2026-08-28,2026-09-10,Priced,
Q-70981,5438605052316,21.55,2026-08-26,05/09/2026,Priced,
Q-70982,5275269331210,28.5,2026-08-30,09/09/2026,Priced,
Q-70983,4436334381612,,2026-08-30,13/09/2026,Errored,Timeout fetching consumption data
Q-70984,2535703640807,20.77,2026-08-26,2026-09-10,Priced,
Q-70985,6032-3617-31928,27.72,2026-08-30,2026-09-15,Priced,
Q-70986,68 6584 0345 195,31.98,2026-08-30,08/09/2026,Priced,
Q-70987,1206695176995,29.08,2026-09-01,14/09/2026,Priced,
Q-70988,08 6911 2823 892,27.21,2026-08-30,2026-09-11,Priced,
Q-70989,74 7142 6905 480,24.56,2026-08-29,2026-09-10,Priced,
Q-70990,82 0967 4449 237,25.48,2026-08-31,09/09/2026,Priced,
Q-70991,7841-7563-13297,17.58,2026-08-31,2026-09-09,Priced,
Q-70992,1186-9600-06554,17.53,2026-08-29,2026-09-08,Priced,
Q-70993,10 2360 0994 767,21.19,2026-08-30,10/09/2026,Priced,
Q-70994,77 0428 9392 499,30.28,2026-08-28,05/09/2026,Priced,
Q-70995,5348-4312-57158,21.73,2026-08-27,2026-09-04,Priced,
Q-70996,2497-5398-55619,28.97,2026-08-30,2026-09-04,Priced,
Q-70997,99 3913 1538 153,16.32,2026-08-31,10/09/2026,Priced,
Q-70998,9339299656459,17.73,2026-08-28,2026-09-06,Priced,
Q-70999,9361843620467,23.5,2026-08-26,07/09/2026,Priced,
Q-71000,76 7137 5423 007,21.06,2026-08-29,2026-09-10,Priced,
Q-71001,27 0482 6012 912,29.43,2026-08-27,2026-09-06,Priced,
Q-71002,2504-0493-08899,16.83,2026-08-27,2026-09-13,Priced,
Q-71003,3949968152922,22.06,2026-08-29,2026-09-09,Priced,
Q-71004,9782-3196-46560,25.38,2026-08-28,2026-09-08,Priced,
Q-71005,4784568169101,21.37,2026-08-31,2026-09-13,Priced,
Q-71006,07 6667 5255 635,28.48,2026-08-29,14/09/2026,Priced,
Q-71007,17 3654 8533 299,18.22,2026-09-01,2026-09-11,Priced,
Q-71008,9039-6461-54707,24.3,2026-08-28,2026-09-11,Priced,
Q-71009,95 3389 4737 038,28.28,2026-08-30,08/09/2026,Priced,
Q-71010,1331-8430-07276,31.08,2026-08-31,2026-09-13,Priced,
Q-71011,13 6086 0700 882,23.17,2026-08-28,06/09/2026,Priced,
Q-71012,3244-5490-42362,30.66,2026-09-01,2026-09-05,Priced,
Q-71013,2722696208685,29.4,2026-08-27,07/09/2026,Priced,
Q-71014,22 5874 7748 698,29.69,2026-08-27,2026-09-12,Priced,
Q-71015,1221223702319,25.46,2026-08-28,15/09/2026,Priced,
Q-71016,3913969373205,26.37,2026-08-26,15/09/2026,Priced,
Q-71017,78 7576 0595 141,29.38,2026-08-26,05/09/2026,Priced,
Q-71018,10 5606 3095 137,19.76,2026-08-28,2026-09-13,Priced,
Q-71019,77 4262 8388 443,22.71,2026-08-28,15/09/2026,Priced,
Q-71020,4648-6841-16343,24.93,2026-08-30,2026-09-05,Priced,
Q-71021,1794-7043-03751,33.09,2026-09-01,08/09/2026,Priced,
Q-71022,78 1159 7731 672,29.78,2026-09-01,2026-09-05,Priced,
Q-71023,0802-0575-98709,30.54,2026-08-28,2026-09-09,Priced,
Q-71024,2408-8783-45321,19.41,2026-08-26,2026-09-04,Priced,
Q-71025,16 0562 5307 142,20.08,2026-08-26,12/09/2026,Priced,
Q-71026,7712388662585,23.89,2026-08-30,2026-09-12,Priced,
Q-71027,4429151758391,22.2,2026-08-28,06/09/2026,Priced,
Q-71028,0363-3712-56068,24.08,2026-08-29,06/09/2026,Priced,
Q-71029,50 6997 4097 042,29.77,2026-08-29,2026-09-10,Priced,
Q-71030,18 4114 2700 804,32.28,2026-08-30,2026-09-11,Priced,
Q-71031,2062013662194,29.91,2026-08-26,09/09/2026,Priced,
Q-71032,83 9725 6454 573,31.5,2026-08-27,2026-09-07,Priced,
Q-71033,2135-7662-76307,20.76,2026-08-28,13/09/2026,Priced,
Q-71034,61 1126 6200 291,31.6,2026-09-01,06/09/2026,Priced,
Q-71035,2001632672185,20.02,2026-08-29,12/09/2026,Priced,
Q-71036,3534507085127,32.8,2026-08-30,2026-09-07,Priced,
Q-71037,7888-2532-29291,25.75,2026-08-30,2026-09-14,Priced,
Q-71038,6220-5238-63671,24.19,2026-08-30,2026-09-12,Priced,
Q-71039,0285776932295,22.55,2026-08-31,2026-09-04,Priced,
Q-71040,9740169039143,24.31,2026-08-29,04/09/2026,Priced,
Q-71041,1750595878880,26.68,2026-08-28,04/09/2026,Priced,
Q-71042,3589163428018,18.62,2026-08-31,2026-09-08,Priced,
Q-71043,2847408836711,18.26,2026-09-01,12/09/2026,Priced,
Q-71044,6644-9494-70624,25.68,2026-08-27,11/09/2026,Priced,
Q-71045,8657709419484,25.7,2026-08-30,13/09/2026,Priced,
Q-71046,08 5631 3338 939,21.71,2026-08-31,07/09/2026,Priced,
Q-71047,9848926559134,29.87,2026-08-29,2026-09-09,Priced,
Q-71048,4847791136808,,2026-08-26,2026-09-06,Errored,Timeout fetching consumption data
Q-71049,6088-3369-87489,20.27,2026-08-26,2026-09-08,Priced,
Q-71050,3091-9499-34620,19.51,2026-09-01,2026-09-04,Priced,
Q-71051,0627753234390,19.55,2026-08-27,2026-09-05,Priced,
Q-71052,3094-3665-59681,18.37,2026-08-30,08/09/2026,Priced,
Q-71053,48 2350 8432 408,21.54,2026-08-28,08/09/2026,Priced,
Q-71054,80 8046 3364 503,28.74,2026-09-01,14/09/2026,Priced,
Q-71055,2960-1854-55123,21.2,2026-08-31,14/09/2026,Priced,
Q-71056,1904-2846-57867,26.35,2026-08-31,15/09/2026,Priced,
Q-71057,3929587656796,,2026-09-01,06/09/2026,Errored,Pricing engine returned no rate
Q-71058,68 0966 7915 316,26.24,2026-08-26,2026-09-08,Priced,
Q-71059,5146617245553,19.09,2026-08-28,09/09/2026,Priced,
Q-71060,0299212988658,28.39,2026-08-30,15/09/2026,Priced,
Q-71061,7303579727664,23.38,2026-09-01,2026-09-10,Priced,
Q-71062,6413-4526-98713,19.69,2026-08-29,14/09/2026,Priced,
Q-71063,3017367050250,22.3,2026-08-28,10/09/2026,Priced,
Q-71064,9748-7260-54291,,2026-08-31,2026-09-15,Errored,Pricing engine returned no rate
Q-71065,90 9924 4544 564,26.62,2026-08-29,08/09/2026,Priced,
Q-71066,2868-2577-35542,26.33,2026-08-27,2026-09-06,Priced,
Q-71067,6180843475620,21.64,2026-08-31,2026-09-05,Priced,
Q-71068,4966391502672,27.17,2026-08-28,2026-09-14,Priced,
Q-71069,4620-0177-41091,17.53,2026-09-01,15/09/2026,Priced,
Q-71070,8216-0598-03289,28.26,2026-08-29,10/09/2026,Priced,
Q-71071,0262-1685-48508,21.03,2026-08-26,15/09/2026,Priced,
Q-71072,93 9110 9215 725,20.81,2026-09-01,2026-09-12,Priced,
Q-71073,9506629070387,25.65,2026-08-26,2026-09-05,Priced,
Q-71074,6266-8533-69352,28.43,2026-08-30,13/09/2026,Priced,
Q-71075,10 2893 7117 450,24.78,2026-08-30,2026-09-06,Priced,
Q-71076,4778957336083,25.04,2026-08-28,08/09/2026,Priced,
Q-71077,3259694172015,20.77,2026-08-28,2026-09-14,Priced,
Q-71078,0951867047432,22.52,2026-08-27,04/09/2026,Priced,
Q-71079,7448-5478-39704,25.92,2026-08-26,2026-09-12,Priced,
Q-71080,7403516661494,22.05,2026-08-28,2026-09-07,Priced,
Q-71081,91 9294 8702 239,28.81,2026-08-26,2026-09-12,Priced,
Q-71082,5327818254774,24.69,2026-08-30,08/09/2026,Priced,
Q-71083,1608-5965-20764,18.39,2026-08-26,2026-09-09,Priced,
Q-71084,4658-0341-36860,21.98,2026-08-27,14/09/2026,Priced,
Q-71085,4703-7845-25293,17.25,2026-08-31,2026-09-13,Priced,
Q-71086,37 7421 0773 976,20.48,2026-08-28,12/09/2026,Priced,
Q-71087,6235114821876,28.53,2026-08-31,12/09/2026,Priced,
Q-71088,0385054464343,20.25,2026-08-29,14/09/2026,Priced,
Q-71089,19 2431 7491 422,18.13,2026-08-30,2026-09-13,Priced,
Q-71090,0812-7274-01377,16.94,2026-08-28,2026-09-06,Priced,
Q-71091,25 1864 3535 267,19.02,2026-08-27,10/09/2026,Priced,
Q-71092,0892903555129,19.87,2026-08-27,2026-09-04,Priced,
Q-71093,6100-4029-76722,,2026-09-01,10/09/2026,Errored,Timeout fetching consumption data
Q-71094,7211948811254,17.75,2026-08-28,11/09/2026,Priced,
Q-71095,9762842578911,29.12,2026-08-28,10/09/2026,Priced,
Q-71096,08 7240 7828 045,31.59,2026-08-26,05/09/2026,Priced,
Q-71097,4084-8584-51438,25.27,2026-08-27,05/09/2026,Priced,
Q-71098,55 4361 5156 867,22.42,2026-08-27,11/09/2026,Priced,
Q-71099,59 9179 0350 671,27.65,2026-08-29,10/09/2026,Priced,
Q-71100,8907871982867,,2026-09-01,13/09/2026,Errored,Pricing engine returned no rate
Q-71101,44 2687 1708 940,20.36,2026-08-29,04/09/2026,Priced,
Q-71102,87 8198 0415 249,24.3,2026-08-27,2026-09-04,Priced,
Q-71103,0909134491948,29.65,2026-08-26,2026-09-11,Priced,
Q-71104,4391547303720,28.18,2026-08-26,12/09/2026,Priced,
Q-71105,33 4845 6941 722,26.94,2026-08-26,2026-09-05,Priced,
Q-71106,6747750441007,22.5,2026-09-01,15/09/2026,Priced,
Q-71107,8914188979395,,2026-08-29,2026-09-13,Errored,Pricing engine returned no rate
Q-71108,30 9656 2175 074,27.26,2026-08-29,2026-09-13,Priced,
Q-71109,9741410087012,25.28,2026-08-28,13/09/2026,Priced,
Q-71110,1695-6640-04836,30.33,2026-08-30,12/09/2026,Priced,
Q-71111,6330207321939,17.95,2026-08-26,12/09/2026,Priced,
Q-71112,1031232766252,22.73,2026-09-01,2026-09-06,Priced,
Q-71113,5087-9395-68759,20.16,2026-08-30,2026-09-08,Priced,
Q-71114,1687167001250,21.1,2026-08-28,04/09/2026,Priced,
Q-71115,3734895157887,18.08,2026-09-01,2026-09-10,Priced,
Q-71116,0663057013514,18.94,2026-08-30,07/09/2026,Priced,
Q-71117,4112-2939-83954,22.6,2026-08-30,2026-09-05,Priced,
Q-71118,9949-1754-27873,30.1,2026-08-26,07/09/2026,Priced,
Q-71119,32 8029 6739 958,26.49,2026-08-28,08/09/2026,Priced,
Q-71120,1061689151499,18.8,2026-08-30,14/09/2026,Priced,
Q-71121,2367989940517,23.81,2026-08-28,2026-09-10,Priced,
Q-71122,9566941553372,27.19,2026-08-29,2026-09-08,Priced,
Q-71123,07 9835 3944 347,22.19,2026-08-30,2026-09-13,Priced,
Q-71124,8620438840035,22.91,2026-09-01,2026-09-07,Priced,
Q-71125,6699-9418-87215,28.3,2026-08-27,2026-09-07,Priced,
Q-71126,3117483436096,26.39,2026-08-29,2026-09-05,Priced,
Q-71127,2041-4417-47830,28.91,2026-08-27,12/09/2026,Priced,
Q-71128,27 9561 8403 819,30.48,2026-08-30,14/09/2026,Priced,
Q-71129,0443-5570-16588,25.65,2026-08-30,2026-09-15,Priced,
Q-71130,71 3907 7155 503,23.08,2026-08-29,05/09/2026,Priced,
Q-71131,70 7110 0828 392,20.63,2026-08-29,2026-09-12,Priced,
Q-71132,8126-5991-81112,21.72,2026-08-26,04/09/2026,Priced,
Q-71133,0874352265318,24.04,2026-08-28,05/09/2026,Priced,
Q-71134,3066-7258-78365,18.84,2026-08-31,12/09/2026,Priced,
Q-71135,64 9075 4328 686,23.55,2026-09-01,04/09/2026,Priced,
Q-71136,4011409138683,23.84,2026-08-28,2026-09-06,Priced,
Q-71137,37 1550 7013 409,19.87,2026-08-31,12/09/2026,Priced,
Q-71138,4862219862195,,2026-08-27,13/09/2026,Errored,Timeout fetching consumption data
Q-71139,23 0465 3206 479,24.24,2026-08-28,2026-09-04,Priced,
Q-71140,6488882900561,27.8,2026-08-26,14/09/2026,Priced,
Q-71141,7358513555532,21.01,2026-08-30,2026-09-15,Priced,
Q-71142,3502824229168,26.85,2026-09-01,15/09/2026,Priced,
Q-71143,86 5628 5568 946,20.11,2026-08-30,07/09/2026,Priced,
Q-71144,8847895525870,21.4,2026-09-01,07/09/2026,Priced,
Q-71145,87 6994 9013 126,25.87,2026-08-26,2026-09-15,Priced,
Q-71146,2416741976234,18.98,2026-08-28,2026-09-04,Priced,
Q-71147,30 1925 1231 210,27.33,2026-08-27,2026-09-11,Priced,
Q-71148,8089589366704,31.15,2026-08-26,2026-09-11,Priced,
Q-71149,79 1720 0349 431,21.86,2026-08-29,04/09/2026,Priced,
Q-71150,9109838950796,32.6,2026-08-30,08/09/2026,Priced,
Q-71151,5727-0101-74804,26.58,2026-08-31,09/09/2026,Priced,
Q-71152,3729950975267,24.66,2026-08-26,2026-09-06,Priced,
Q-71153,75 1710 4514 372,26.21,2026-08-27,13/09/2026,Priced,
Q-71154,62 7399 7264 797,30.05,2026-09-01,08/09/2026,Priced,
Q-71155,1758-1926-37859,21.6,2026-08-26,09/09/2026,Priced,
Q-71156,1732799283018,,2026-08-26,2026-09-06,Errored,Timeout fetching consumption data
Q-71157,5014804163318,19.91,2026-08-29,04/09/2026,Priced,
Q-71158,36 8979 5851 169,15.49,2026-08-29,11/09/2026,Priced,
Q-71159,5677-8233-57422,28.74,2026-09-01,13/09/2026,Priced,
Q-71160,3007-8356-16496,14.71,2026-08-27,13/09/2026,Priced,
Q-71161,0579-4839-36559,22.66,2026-08-29,08/09/2026,Priced,
Q-71162,9612398734701,18.89,2026-08-28,06/09/2026,Priced,
Q-71163,9344028543110,20.81,2026-08-27,2026-09-10,Priced,
Q-71164,2800226054825,29.17,2026-09-01,07/09/2026,Priced,
Q-71165,8665063397999,29.35,2026-08-26,13/09/2026,Priced,
Q-71166,0244-3409-86746,24.78,2026-08-29,04/09/2026,Priced,
Q-71167,0796-7625-49977,24.09,2026-08-31,14/09/2026,Priced,
Q-71168,0160734353018,19.27,2026-08-30,2026-09-11,Priced,
Q-71169,2335-0611-06779,25.93,2026-08-29,2026-09-06,Priced,
Q-71170,56 9530 5310 003,23.42,2026-08-29,14/09/2026,Priced,
Q-71171,3808-1032-25533,29.01,2026-08-26,2026-09-10,Priced,
Q-71172,4720-7147-29419,23.32,2026-08-29,05/09/2026,Priced,
Q-71173,6335310209629,30.71,2026-09-01,10/09/2026,Priced,
Q-71174,5650-2379-25416,31.3,2026-08-26,2026-09-11,Priced,
Q-71175,32 0577 1305 111,20.84,2026-08-26,09/09/2026,Priced,
