entry_id,created,owner,customer,type,note,next_action,next_action_date
CRM-127258,09/08/2024,James Brooke,CUS-11163,Email,Intro call booked,,
CRM-112132,13/11/2024,Grace Nairn,CUS-10545,Call,Wants multi-site quote for renewal,,
CRM-152634,13/01/2025,Nia Wren,CUS-12294,Call,Left voicemail,,
CRM-127238,2025-01-27,Callum Rowntree,Dunmore Salvage Holdings,Meeting,,Book meeting,
CRM-128117,04/02/2026,Anita Mercer,Cobalt Padel Limited,Call,Site added to account,,2026-02-27
CRM-124147,2024-03-15,,,Email,,,
CRM-133250,2026-06-16,Kirsty Pryce,CUS-11469,Call,Intro call booked,,
CRM-146430,2024-03-19,James Brooke,Hatherley Upholstery Ltd,Note,"No answer, try next week",,
CRM-101218,2025-01-29,Amber Doyle,TEM-10885-G,Call,Site added to account,Escalate to AM,2025-02-26
CRM-147211,13/12/2025,Grace Nairn,Fernhill Fabrications Group,Note,Waiting on LOA,,
CRM-117731,2026-02-16,Anita Mercer,CUS-10734,Meeting,Updated contact details,,
CRM-112832,2025-11-02,James Jennings,ATLAS LAUNDRY (UK) LTD,Call,"Keen to renew, asked us to send terms",,
CRM-147610,2026-03-31,Rhys Doyle,CUS-12078,Call,,Follow up,
CRM-140218,2025-03-16,Grace Nairn,Elmwood Care Limited,Note,,Send quote,2025-03-23
CRM-131140,2024-12-25,Gareth Hansen,TEM-73680-F,Call,"No answer, try next week",,
CRM-156873,2026-07-18,Iona Mercer,CUS-12469,Call,Renewal call went well - decision maker engaged,,
CRM-109907,2025-05-08,Anita Mercer,CUS-10453,Call,Sent brochure,,
CRM-122869,07/06/2024,Aisha Sharpe,Wrenfield Engineering,Call,,Follow up,
CRM-121604,2026-04-21,Amber Doyle,TEM-63883-A,Call,Intro call booked,Follow up,
CRM-139670,04/04/2024,James Jennings,TEM-49916-B,Task,Intro call booked,,
CRM-132585,21/05/2025,Aisha Sharpe,Halewood Veterinary Ltd,Email,Updated contact details,Send quote,
CRM-144428,2026-08-18,Kirsty Osei,,Meeting,"No answer, try next week",,
CRM-147728,2026-08-31,Callum Rowntree,CUS-12079,Task,Did not respond to renewal outreach,Follow up,
CRM-141634,2024-08-22,Nia Wren,Verity Garden Group Ltd,Note,"Keen to renew, asked us to send terms",Book meeting,
CRM-132894,2025-07-06,James Jennings,Tanfield Scaffolding Group,Call,Renewal call went well - decision maker engaged,,
CRM-106341,02/06/2025,Jack Sharpe,CUS-10296,Email,Chased signature,,
CRM-116544,30/12/2025,Jack Sharpe,CUS-10703,Call,Sent brochure,,07/01/2026
CRM-117030,2025-06-15,Amber Doyle,PEMBERLEY FOUNDRY LTD,Call,Chased signature,,2025-06-25
CRM-124120,12/06/2026,Amber Doyle,KELBROOK LEISURE (UK) LTD,Call,Site added to account,,
CRM-137175,09/11/2024,Kirsty Pryce,CUS-11648,Call,Did not respond to renewal outreach,,
CRM-115006,17/03/2025,Aisha Sharpe,TEM-72657-E,Email,Chased signature,,
CRM-136067,2025-08-01,Aisha Sharpe,CUS-11594,Email,Chased signature,,
CRM-133516,2024-06-03,Jack Sharpe,Atlas Motors,Meeting,Broker says customer gone quiet,,2024-06-15
CRM-108800,2025-06-05,,,Note,Waiting on LOA,Escalate to AM,
CRM-103930,2025-07-17,James Jennings,,Email,Chased signature,,
CRM-135726,06/03/2026,James Brooke,CUS-11573,Call,Reviewing a competitor quote from incumbent,,
CRM-111498,2026-07-25,Jack Sharpe,,Email,"No answer, try next week",Send quote,
CRM-147482,17/11/2024,Jack Sharpe,Verity Kennels Holdings,Note,,,
CRM-137348,2025-02-13,,CUS-11652,Meeting,Sent brochure,,09/03/2025
CRM-151876,2025-07-07,Amber Doyle,TEM-32023-G,Task,Chased signature,,
CRM-122225,2025-05-28,Jack Sharpe,,Call,Asked when renewal pricing lands,,2025-06-24
CRM-148915,27/05/2026,Rhys Doyle,TEM-56875-E,Call,Left voicemail,,
CRM-102749,2024-11-22,Amber Doyle,TEM-28938-A,Call,"No answer, try next week",Follow up,26/11/2024
CRM-139723,27/06/2025,Amber Doyle,CUS-11762,Task,Left voicemail,Send quote,
CRM-113056,2024-12-04,Gareth Hansen,,Note,Updated contact details,,2024-12-10
CRM-143473,24/09/2024,Iona Mercer,TEM-59575-C,Email,Site added to account,Escalate to AM,2024-10-21
CRM-143263,24/07/2026,James Jennings,TEM-44188-G,Call,Wants multi-site quote for renewal,Escalate to AM,
CRM-134512,2026-03-21,Aisha Sharpe,CUS-11530,Call,Site added to account,,
CRM-102446,2025-08-27,,TEM-52380-B,Call,Updated contact details,,14/09/2025
CRM-141715,15/10/2025,Aisha Sharpe,TEM-32426-F,Task,Asked about early exit terms,Send quote,31/10/2025
CRM-147206,2024-06-07,James Jennings,CUS-12069,Task,Sent brochure,,
CRM-130687,20/07/2026,,,Email,Very happy with RED savings this year,Escalate to AM,
CRM-110631,07/04/2026,Jack Sharpe,TEM-77131-F,Email,,,
CRM-114077,25/03/2026,,CUS-10607,Note,Asked when renewal pricing lands,,2026-04-21
CRM-153033,2026-06-13,Kirsty Pryce,TEM-58153-A,Call,,Follow up,15/06/2026
CRM-132056,2025-03-02,,Maplin Logistics Ltd,Call,Broker says customer gone quiet,Escalate to AM,
CRM-115510,2025-12-31,Iona Mercer,WRENFIELD BREWERIES CO,Task,,Follow up,2026-01-10
CRM-101940,13/01/2025,Grace Nairn,Cobalt Recycling,Email,,,
CRM-119667,25/10/2025,Rhys Doyle,Umberside Offices Ltd,Call,Left voicemail,Follow up,
CRM-119355,2024-07-21,Gareth Hansen,TEM-80449-F,Call,Left voicemail,,
CRM-110617,25/12/2025,Grace Nairn,,Email,Waiting on LOA,,2026-01-23
CRM-155630,2024-11-16,Grace Nairn,CUS-12416,Call,Waiting on LOA,Send quote,26/11/2024
CRM-127796,06/11/2025,Callum Rowntree,CUS-11186,Call,,,
CRM-140101,2026-07-28,Kirsty Osei,,Meeting,Chased signature,Send quote,
CRM-149461,16/05/2025,,Farrier Marine Partners,Task,Broker says customer gone quiet,,
CRM-143155,2025-10-31,Iona Mercer,Westcliff Engineering Ltd,Call,Customer moved to incumbent,,
CRM-124425,2025-12-27,Kirsty Pryce,CUS-11045,Email,,Escalate to AM,07/01/2026
CRM-103621,09/04/2026,,TEM-78374-G,Task,Intro call booked,Escalate to AM,
CRM-124718,20/07/2024,James Brooke,Cobalt Retail Partners Ltd,Email,Updated contact details,Escalate to AM,
CRM-106568,2026-05-29,Iona Mercer,TEM-93812-D,Note,Sent brochure,,
CRM-142483,2025-05-12,,TEM-57585-B,Note,Reviewing a competitor quote from incumbent,,
CRM-149151,2024-12-31,Nia Wren,Dunmore Garden Ltd,Email,Sent brochure,,
CRM-123213,07/08/2026,Iona Mercer,Applegarth Schools Ltd,Email,Waiting on LOA,,2026-08-11
CRM-136528,13/09/2025,Kirsty Osei,Vantage Optics Ltd,Call,Site added to account,,
CRM-132657,2025-03-13,Kirsty Osei,,Task,Confirmed budget approved for next term,Book meeting,25/03/2025
CRM-145428,2026-07-01,Kirsty Osei,TEM-49266-C,Email,Confirmed budget approved for next term,,
CRM-105144,16/06/2026,Kirsty Osei,Westcliff Aggregates & Sons,Note,,Book meeting,
CRM-127913,08/07/2025,Gareth Hansen,,Email,,,17/07/2025
CRM-140861,2025-09-19,Kirsty Osei,CUS-11808,Note,Chased signature,,
CRM-116640,2026-02-28,Callum Rowntree,Maplin Bookbinders & Sons,Task,Waiting on LOA,Follow up,
CRM-106241,2026-05-29,Rhys Doyle,TEM-33443-A,Meeting,Confirmed budget approved for next term,Follow up,
CRM-151659,30/12/2024,Aisha Sharpe,TEM-50111-C,Call,"Keen to renew, asked us to send terms",,
CRM-101243,07/03/2025,James Jennings,Oakhurst Data Rooms Holdings Ltd,Note,Left voicemail,,
CRM-133032,10/06/2026,Gareth Hansen,PEMBERLEY DATA ROOMS LIMITED,Call,,,2026-07-02
CRM-126870,28/08/2025,Kirsty Pryce,TEM-66094-F,Meeting,,,01/09/2025
CRM-148021,2024-04-08,Amber Doyle,,Call,Confirmed budget approved for next term,,
CRM-123249,2025-01-04,Rhys Doyle,TEM-23687-B,Email,Site added to account,,
CRM-126909,30/08/2026,Jack Sharpe,CUS-11149,Note,"Unhappy about invoice dispute, renewal at risk",,
CRM-115332,2026-08-28,Kirsty Pryce,,Call,,,
CRM-156347,28/05/2026,,TEM-76911-G,Task,Wants multi-site quote for renewal,,
CRM-102937,01/04/2024,James Brooke,CUS-10137,Meeting,,Follow up,2024-04-06
CRM-152469,2026-05-12,James Brooke,CUS-12289,Call,Asked when renewal pricing lands,Escalate to AM,
CRM-117709,2025-05-12,Aisha Sharpe,,Call,Site added to account,Book meeting,
CRM-135029,2025-09-12,Rhys Doyle,Lowther Catering Ltd,Email,,Book meeting,2025-09-14
CRM-130283,28/06/2026,James Jennings,TEM-38129-F,Email,Intro call booked,Escalate to AM,
CRM-120831,2025-01-05,Iona Mercer,Nettlebed Textiles Ltd,Call,Waiting on LOA,Follow up,02/02/2025
CRM-138553,13/05/2024,Iona Mercer,CUS-11686,Email,Confirmed budget approved for next term,,
CRM-125046,24/11/2024,Kirsty Osei,,Call,,,
CRM-141409,15/10/2024,Grace Nairn,TEM-66329-B,Call,"Keen to renew, asked us to send terms",,
CRM-113325,2025-01-19,Kirsty Pryce,CUS-10583,Task,"No answer, try next week",,
CRM-114986,2024-10-02,Grace Nairn,Hollybush Offices Holdings,Task,Left voicemail,Escalate to AM,
CRM-111770,05/06/2026,Kirsty Pryce,CUS-10529,Email,Sent brochure,Book meeting,
CRM-154656,2026-06-27,,CUS-12380,Email,Sent brochure,,2026-07-13
CRM-121212,28/06/2024,Gareth Hansen,,Note,Confirmed budget approved for next term,,07/07/2024
CRM-131809,29/03/2024,James Brooke,,Note,Left voicemail,,14/04/2024
CRM-153750,21/10/2024,Kirsty Pryce,,Meeting,,,
CRM-141608,2025-09-07,Kirsty Osei,,Call,Updated contact details,,
CRM-121717,2025-03-31,Kirsty Osei,CUS-10894,Meeting,,,
CRM-139059,2026-07-20,Grace Nairn,Applegarth Chandlery Ltd,Call,,Follow up,
CRM-119595,23/03/2025,Nia Wren,CUS-10787,Meeting,Left voicemail,Follow up,
CRM-156409,07/01/2025,Amber Doyle,COBALT FABRICATIONS LTD,Meeting,Chased signature,,2025-01-22
CRM-144526,2025-01-23,Rhys Doyle,CUS-11962,Email,Waiting on LOA,,
CRM-132988,02/06/2026,James Brooke,TEM-79966-D,Email,,,
CRM-154178,05/07/2024,Aisha Sharpe,CUS-12355,Task,,Follow up,
CRM-124062,2025-08-19,Rhys Doyle,Westcliff Forge Partners,Call,Chased signature,Escalate to AM,23/08/2025
CRM-151728,27/06/2024,,TEM-25847-A,Call,Intro call booked,Follow up,
CRM-110811,05/10/2025,Nia Wren,,Call,,,
CRM-123783,2026-02-07,Kirsty Pryce,TEM-62469-G,Call,Updated contact details,,2026-02-15
CRM-143560,03/10/2024,Aisha Sharpe,CUS-11916,Task,,Escalate to AM,
CRM-127288,02/03/2026,Nia Wren,Millpond Milling (UK) Ltd,Call,"No answer, try next week",,
CRM-138167,2026-07-15,Nia Wren,CUS-11676,Note,Intro call booked,Escalate to AM,
CRM-115835,2025-06-20,Anita Mercer,CUS-10678,Call,,,
CRM-150171,2025-01-18,,Stanhope Joinery Co,Task,Chased signature,Book meeting,
CRM-122423,24/10/2025,Anita Mercer,CUS-10932,Task,Confirmed budget approved for next term,Send quote,
CRM-116031,27/12/2024,Nia Wren,CUS-10690,Meeting,Sent brochure,Send quote,2025-01-05
CRM-118329,2025-01-03,Gareth Hansen,Oakhurst Garden Ltd,Call,,,
CRM-141013,15/06/2026,James Brooke,Larkspur Glassworks,Call,,Follow up,29/06/2026
CRM-155582,18/10/2025,Aisha Sharpe,,Call,Sent brochure,Escalate to AM,
CRM-106551,2026-07-22,Gareth Hansen,CUS-10309,Call,Intro call booked,Escalate to AM,
CRM-129617,12/08/2025,James Brooke,TEM-17853-F,Task,Sent brochure,,
CRM-140786,31/01/2026,Kirsty Osei,Lowther Motors,Call,Intro call booked,,
CRM-135885,24/10/2024,Grace Nairn,CUS-11581,Call,Renewal call went well - decision maker engaged,Book meeting,
CRM-131334,2026-04-27,,,Task,,,
CRM-137705,18/05/2025,Jack Sharpe,CUS-11662,Meeting,Left voicemail,Send quote,
CRM-124635,2025-06-27,James Jennings,CUS-11051,Email,"Unhappy about invoice dispute, renewal at risk",,
CRM-151126,09/08/2024,Kirsty Pryce,CUS-12233,Note,Site added to account,,
CRM-106898,10/11/2024,Nia Wren,Thackery Optics Ltd,Call,,Book meeting,
CRM-153769,27/03/2024,Grace Nairn,CUS-12343,Email,Left voicemail,,
CRM-108880,25/05/2026,James Jennings,TEM-56742-A,Call,Very happy with RED savings this year,Escalate to AM,2026-06-05
CRM-134114,2026-03-12,Nia Wren,Riverbank Foundry Group,Email,Left voicemail,,
CRM-125429,17/12/2025,Callum Rowntree,CUS-11084,Task,"No answer, try next week",,
CRM-111190,27/11/2024,Gareth Hansen,TEM-95284-A,Email,Sent brochure,,2024-12-10
CRM-132884,06/08/2026,Rhys Doyle,Applegarth Seafoods Co,Call,Chased signature,Send quote,04/09/2026
CRM-113676,02/07/2024,Nia Wren,TEM-92502-F,Email,Very happy with RED savings this year,Book meeting,2024-07-07
CRM-138477,2025-10-09,Iona Mercer,CUS-11682,Note,,,
CRM-110846,2026-05-28,Iona Mercer,TEM-67251-B,Meeting,Updated contact details,,
CRM-142733,11/03/2026,Aisha Sharpe,CUS-11882,Task,,,
CRM-127803,13/01/2026,,Fernhill Cold Storage Partners,Email,Left voicemail,,
CRM-100265,15/01/2026,Kirsty Osei,CUS-10016,Meeting,Intro call booked,Follow up,
CRM-107203,2025-08-03,,,Email,"No answer, try next week",,2025-08-09
CRM-125767,01/01/2025,Kirsty Osei,,Call,Reviewing a competitor quote from incumbent,,
CRM-109105,30/12/2024,Grace Nairn,CUS-10404,Call,Asked when renewal pricing lands,Follow up,
CRM-145201,25/08/2025,Amber Doyle,TEM-81547-C,Call,Did not respond to renewal outreach,,
CRM-150118,2024-10-05,James Jennings,CUS-12181,Email,,Book meeting,
CRM-112152,13/02/2026,Gareth Hansen,CUS-10545,Call,Chased signature,,
CRM-156457,28/12/2024,James Jennings,,Task,Confirmed budget approved for next term,,
CRM-134786,2024-10-17,Iona Mercer,Westcliff Cinemas Co,Call,,Follow up,12/11/2024
CRM-101140,25/01/2025,Grace Nairn,CUS-10048,Call,,,
CRM-137827,2025-11-25,James Jennings,CUS-11668,Call,,Escalate to AM,2025-12-23
CRM-135943,05/04/2024,Kirsty Pryce,TEM-87778-D,Call,Chased signature,,
CRM-145689,2026-03-29,James Brooke,CUS-12020,Email,,,
CRM-110249,2025-11-22,Nia Wren,Thackery Seafoods Group,Email,Intro call booked,Escalate to AM,
CRM-134446,2025-01-23,James Brooke,Tanfield Farm Foods Ltd,Email,Updated contact details,Escalate to AM,
CRM-138340,30/12/2025,Grace Nairn,,Meeting,Renewal call went well - decision maker engaged,,
CRM-131108,2024-05-20,Grace Nairn,Millpond Galvanising Group,Task,Sent brochure,,26/05/2024
CRM-116006,2025-09-20,Kirsty Pryce,TEM-88778-G,Meeting,Sent brochure,,
CRM-113353,23/12/2025,Kirsty Osei,FOXGLOVE SCAFFOLDING HOLDINGS LTD,Task,,,
CRM-134611,2024-07-13,Rhys Doyle,Westcliff Cinemas Co,Call,Sent brochure,,
CRM-155185,2024-04-27,,CUS-12398,Meeting,"No answer, try next week",Send quote,12/05/2024
CRM-130168,29/07/2024,Callum Rowntree,CUS-11313,Call,Asked when renewal pricing lands,Escalate to AM,
CRM-125603,2024-09-10,Gareth Hansen,CUS-11090,Meeting,Lost on price at renewal,Book meeting,
CRM-143171,2024-11-15,Grace Nairn,CUS-11904,Meeting,Left voicemail,,25/11/2024
CRM-141781,04/08/2025,Grace Nairn,CUS-11852,Meeting,Site added to account,Book meeting,
CRM-132336,2026-05-12,Nia Wren,,Email,Left voicemail,,
CRM-103075,2026-04-30,Aisha Sharpe,CUS-10146,Task,Chased signature,,06/05/2026
CRM-127158,2026-03-23,Kirsty Osei,,Meeting,Site added to account,,2026-03-27
CRM-124242,26/01/2026,Kirsty Pryce,Exmoor Cinemas & Sons,Task,"No answer, try next week",,
CRM-122195,2024-07-10,,,Call,Intro call booked,Follow up,13/07/2024
CRM-104390,2026-08-17,Kirsty Osei,ROSEDALE SALVAGE LTD,Task,Updated contact details,Book meeting,
CRM-136656,20/07/2026,Anita Mercer,Millpond Salvage,Call,Sent brochure,Escalate to AM,
CRM-120434,27/01/2025,Gareth Hansen,TEM-19586-C,Email,Reviewing a competitor quote from incumbent,,2025-02-21
CRM-124547,03/10/2025,Jack Sharpe,CUS-11050,Email,Waiting on LOA,,
CRM-133105,02/04/2024,,Langmere Maltings Limited,Call,Wants multi-site quote for renewal,,
CRM-153927,2025-04-02,,Zephyr Catering Partners,Call,Site added to account,,
CRM-131225,28/05/2026,James Brooke,TEM-73680-F,Task,Updated contact details,Book meeting,
CRM-154972,2024-11-27,Grace Nairn,CUS-12387,Email,Sent brochure,Escalate to AM,
CRM-108429,2025-07-31,,TEM-52868-B,Call,Confirmed budget approved for next term,,
CRM-147048,21/01/2025,Nia Wren,TEM-89530-G,Note,Left voicemail,Book meeting,02/02/2025
CRM-115281,09/05/2025,Gareth Hansen,Halewood Galvanising & Sons Ltd,Call,Updated contact details,,
CRM-148176,05/06/2026,Callum Rowntree,RIVERBANK GARDEN LTD,Call,Updated contact details,,
CRM-110723,2025-09-09,James Jennings,TEM-38478-D,Note,Updated contact details,,
CRM-142581,08/12/2025,Amber Doyle,CUS-11881,Call,Waiting on LOA,,
CRM-123339,2026-06-10,James Jennings,CUS-10969,Email,Waiting on LOA,Escalate to AM,
CRM-142324,2025-07-04,Anita Mercer,Ottershaw Care & Sons,Email,"No answer, try next week",,
CRM-155696,12/05/2024,Aisha Sharpe,TEM-13632-A,Meeting,Sent brochure,Send quote,10/06/2024
CRM-125432,07/04/2024,James Jennings,TEM-82271-B,Call,,Follow up,2024-04-28
CRM-134747,12/07/2024,Iona Mercer,CUS-11533,Note,Sent brochure,Escalate to AM,25/07/2024
CRM-123936,2025-10-15,Grace Nairn,CUS-11008,Call,,Send quote,
CRM-129012,2026-07-11,Callum Rowntree,,Meeting,Updated contact details,,
CRM-142289,2025-10-14,Amber Doyle,CUS-11870,Note,Wants multi-site quote for renewal,,2025-11-07
CRM-100879,2025-03-01,Callum Rowntree,CUS-10040,Note,,,
CRM-105106,12/07/2025,James Jennings,NORBURY BREWERIES & SONS,Meeting,Updated contact details,Follow up,
CRM-127642,10/03/2026,James Jennings,CUS-11176,Call,"Unhappy about invoice dispute, renewal at risk",,
CRM-151796,2026-05-24,Rhys Doyle,CUS-12272,Note,Sent brochure,,
CRM-103396,2025-06-26,Rhys Doyle,CUS-10153,Meeting,Chased signature,Escalate to AM,
CRM-116106,2026-03-22,Callum Rowntree,ULLSWATER CARE GROUP,Call,"Keen to renew, asked us to send terms",,
CRM-127917,2026-06-09,Aisha Sharpe,,Email,Left voicemail,,
CRM-133632,13/08/2026,Grace Nairn,CUS-11488,Call,Waiting on LOA,,19/08/2026
CRM-150396,2025-12-19,Kirsty Pryce,TEM-20931-A,Task,,,
CRM-114082,2024-06-25,Jack Sharpe,CUS-10607,Email,Intro call booked,Follow up,
CRM-140176,2024-05-11,Iona Mercer,,Task,Left voicemail,,
CRM-101248,19/06/2026,Rhys Doyle,CUS-10053,Email,"Keen to renew, asked us to send terms",,
CRM-145250,2026-03-11,James Brooke,Maplin Breweries Co,Email,,,
CRM-141063,20/03/2025,Nia Wren,CUS-11819,Meeting,Renewal call went well - decision maker engaged,Send quote,
CRM-157405,2026-01-16,Gareth Hansen,CUS-12496,Meeting,,,
CRM-122221,18/02/2026,Aisha Sharpe,CUS-10924,Email,Asked when renewal pricing lands,,
CRM-112556,2024-05-07,James Brooke,Applegarth Roofing Holdings,Email,Site added to account,,01/06/2024
CRM-124165,08/08/2026,,TEM-98325-D,Email,Site added to account,,
CRM-137051,2024-05-23,Kirsty Osei,Ironbridge Breweries,Note,,,
CRM-140156,2024-12-02,Callum Rowntree,CUS-11787,Note,Renewal call went well - decision maker engaged,,
CRM-112062,25/06/2024,Iona Mercer,Zephyr Aquatics Ltd,Meeting,Reviewing a competitor quote from incumbent,,05/07/2024
CRM-105327,24/07/2026,Kirsty Pryce,,Email,Sent brochure,Book meeting,
CRM-106322,16/12/2024,Anita Mercer,Westcliff Cold Storage (UK) Ltd,Email,Waiting on LOA,Book meeting,
CRM-104849,2025-06-26,James Brooke,CUS-10214,Note,Site added to account,,06/07/2025
CRM-156578,30/08/2025,,TEM-36951-E,Note,Confirmed budget approved for next term,,
CRM-127004,2026-06-09,Kirsty Osei,TEM-62035-G,Meeting,Intro call booked,Book meeting,2026-06-24
CRM-131982,27/12/2025,Iona Mercer,CUS-11391,Email,,,
CRM-122533,2025-03-09,Nia Wren,TEM-53511-D,Email,Confirmed budget approved for next term,,
CRM-144079,2024-05-03,Jack Sharpe,CUS-11934,Call,"No answer, try next week",,
CRM-103331,2025-12-05,James Jennings,,Meeting,Intro call booked,,
CRM-116248,2025-06-04,Nia Wren,CUS-10702,Note,,,2025-06-16
CRM-139956,25/04/2026,James Jennings,REDWING BOOKBINDERS,Call,"Keen to renew, asked us to send terms",,
CRM-151163,06/03/2025,Rhys Doyle,CUS-12236,Task,Very happy with RED savings this year,,
CRM-136983,24/10/2024,James Brooke,TEM-47592-D,Call,Sent brochure,,
CRM-102053,19/10/2025,,CUS-10095,Email,Left voicemail,,
CRM-101332,26/07/2025,Callum Rowntree,Pemberley Schools Group,Call,Left voicemail,,
CRM-142722,11/09/2025,Grace Nairn,TEM-79283-A,Email,Chased signature,,
CRM-137743,30/05/2025,Jack Sharpe,Torque Bookbinders Holdings,Email,Site added to account,Escalate to AM,
CRM-124929,22/08/2024,Grace Nairn,,Task,,Book meeting,
CRM-152399,31/07/2026,Aisha Sharpe,CUS-12289,Email,Left voicemail,,10/08/2026
CRM-126920,29/12/2025,James Jennings,Ivybridge Dairy Group,Note,Site added to account,Send quote,
CRM-136892,10/04/2024,James Brooke,TEM-35237-F,Call,Sent brochure,,
CRM-143635,07/01/2025,Jack Sharpe,CUS-11919,Task,"No answer, try next week",Follow up,
CRM-139289,2026-08-21,Aisha Sharpe,CUS-11734,Email,Asked about early exit terms,Follow up,14/09/2026
CRM-150056,25/12/2025,Gareth Hansen,,Meeting,"Unhappy about invoice dispute, renewal at risk",,
CRM-136241,22/04/2024,Rhys Doyle,TEM-21875-G,Task,"No answer, try next week",,
CRM-147243,02/03/2026,Amber Doyle,CUS-12071,Note,Updated contact details,,
CRM-100727,13/08/2025,Jack Sharpe,CUS-10039,Email,"Price sensitive, wants >10% saving to stay",,
CRM-104979,28/03/2025,James Jennings,Bramble Kennels Ltd,Note,Intro call booked,Escalate to AM,
CRM-125723,05/07/2024,,CUS-11098,Meeting,,Send quote,
CRM-128863,26/07/2026,Callum Rowntree,,Task,,,
CRM-111213,2024-07-18,Gareth Hansen,Maplin Recycling,Email,Renewal call went well - decision maker engaged,,2024-07-28
CRM-153222,2025-10-26,,CUS-12312,Meeting,Asked about early exit terms,Follow up,
CRM-114691,2026-04-11,James Brooke,QUARRINGTON CARE PARTNERS LTD,Call,,,
CRM-116091,13/06/2025,,CUS-10696,Task,"No answer, try next week",,
CRM-145297,2024-04-05,Gareth Hansen,CUS-12002,Note,Broker says customer gone quiet,,
CRM-156271,05/04/2025,James Brooke,CUS-12435,Call,Very happy with RED savings this year,,
CRM-132491,25/09/2025,Aisha Sharpe,CUS-11422,Email,Updated contact details,Escalate to AM,2025-10-15
CRM-155556,17/06/2025,Gareth Hansen,Ellerton Laundry (UK) Limited,Task,Chased signature,,26/06/2025
CRM-119836,2025-09-14,Gareth Hansen,TEM-58999-F,Email,"Keen to renew, asked us to send terms",Book meeting,
CRM-105749,2026-05-18,Amber Doyle,CUS-10262,Call,Sent brochure,Send quote,
CRM-132597,2025-06-12,Gareth Hansen,CUS-11424,Email,Waiting on LOA,,
CRM-153241,2026-08-13,Amber Doyle,,Email,Renewal call went well - decision maker engaged,,
CRM-121136,02/09/2025,Kirsty Osei,TEM-53508-G,Email,"No answer, try next week",Escalate to AM,2025-09-10
CRM-100948,2024-12-20,James Brooke,TEM-20013-C,Call,Asked when renewal pricing lands,Escalate to AM,
CRM-120225,2026-06-22,James Jennings,Stanhope Marine Limited,Call,,Escalate to AM,
CRM-137305,10/03/2026,Iona Mercer,TEM-23451-G,Note,Chased signature,,
CRM-115586,2024-09-02,Iona Mercer,,Email,Intro call booked,,
CRM-116400,2025-11-24,Rhys Doyle,Millpond Breweries Group Ltd,Email,"No answer, try next week",,2025-12-10
CRM-134340,2026-05-24,,TEM-63908-D,Call,Intro call booked,,
CRM-109127,2024-09-29,Rhys Doyle,CUS-10404,Call,Sent brochure,,2024-10-12
CRM-145604,2024-12-04,Grace Nairn,,Note,Broker says customer gone quiet,,
CRM-143488,07/04/2024,Grace Nairn,,Email,Left voicemail,,03/05/2024
CRM-145044,2024-05-02,Kirsty Osei,Kestrel Bakehouse (UK) Limited,Call,,,
CRM-114099,2025-04-09,Grace Nairn,CUS-10609,Email,,Escalate to AM,
CRM-131035,2026-02-12,Aisha Sharpe,,Note,"Keen to renew, asked us to send terms",,
CRM-115536,2025-12-19,James Jennings,Selworthy Print (UK) Ltd,Call,Lost on price at renewal,,
CRM-114415,05/12/2025,Anita Mercer,CUS-10617,Call,,Send quote,
CRM-150835,2024-03-15,Rhys Doyle,,Call,,,
CRM-136865,19/11/2024,Kirsty Osei,Northgate Packaging Limited,Call,,Book meeting,
CRM-112565,02/02/2025,James Brooke,TEM-52077-G,Call,Site added to account,,2025-02-10
CRM-151625,12/03/2025,Callum Rowntree,CUS-12264,Meeting,Sent brochure,,
CRM-117223,06/11/2025,Callum Rowntree,,Email,Waiting on LOA,Escalate to AM,
CRM-139514,2025-08-12,Aisha Sharpe,INGLEBY CARE CO LTD,Task,,,
CRM-109600,13/07/2026,James Brooke,TEM-14510-B,Email,Chased signature,,04/08/2026
CRM-145786,16/11/2025,Kirsty Osei,TEM-21446-A,Task,"No answer, try next week",Escalate to AM,
CRM-148246,21/08/2025,Iona Mercer,Saltmarsh Cold Storage & Sons,Note,Waiting on LOA,,
CRM-133669,24/07/2026,Jack Sharpe,Yarrow Veterinary,Call,Sent brochure,,
CRM-101504,14/04/2025,Jack Sharpe,Riverbank Retail Ltd,Note,Chased signature,,
CRM-152377,27/10/2025,Kirsty Osei,CUS-12289,Meeting,Waiting on LOA,,
CRM-144064,02/01/2025,Rhys Doyle,,Call,,,20/01/2025
CRM-119803,2025-06-13,,,Call,,Book meeting,
CRM-132609,2026-05-10,,CUS-11425,Note,,,
CRM-149964,2024-08-15,Nia Wren,Hollybush Hotels,Note,Left voicemail,Escalate to AM,
CRM-116699,2024-07-20,Rhys Doyle,Larkspur Tanning Ltd,Call,Left voicemail,,
CRM-106504,30/06/2025,Aisha Sharpe,CUS-10305,Email,Sent brochure,Escalate to AM,
CRM-150780,29/03/2026,Amber Doyle,CUS-12225,Call,Very happy with RED savings this year,Escalate to AM,
CRM-120892,2025-08-12,Amber Doyle,,Email,Chased signature,,
CRM-103818,2024-11-28,,TEM-62521-B,Call,,Send quote,01/12/2024
CRM-110524,12/07/2025,,CUS-10473,Call,Waiting on LOA,Send quote,
CRM-152037,2025-05-14,James Brooke,CUS-12282,Email,Very happy with RED savings this year,,2025-05-21
CRM-142218,04/06/2025,,CUS-11864,Task,Lost on price at renewal,,
CRM-112661,2025-08-09,Gareth Hansen,TEM-89735-F,Email,Updated contact details,,
CRM-155043,09/08/2025,Iona Mercer,CUS-12391,Call,,,
