site_id,account_ref,site_name,postcode,mpan,product,contract_start,contract_end,eac_kwh,current_unit_rate_p_per_kwh,site_status
S-21278,TEM-22926-G,Wrenfield site 2,S27 7AX,3265497351836,RED,2026-07-31,31/07/2027,1250000,31.06,Live
S-21279,TEM-36058-D,Kingsmead site 1,L30 2AD,8632992144687,RED,2023-11-06,05/11/2026,2100000,21.83,Live
S-21280,TEM-99631-A,Quayside site 1,M7 4JT,1421-8477-05088,RED,13/05/2025,13 May 2027,155000,23.78,Live
S-21281,TEM-95329-D,Bexley site 1,B9 2HR,3272-0800-96492,REDzero,14/09/2024,14-Sep-26,2100000,18.59,Live
S-21282,TEM-95329-D,Bexley site 2,L4 9AX,6952-6383-75525,RED,2027-01-05,05/01/2028,62500,30.21,Live
S-21283,TEM-38248-F,Pennine site 1,S4 1BD,48 7023 9449 860,RED,2023-03-04,03-Mar-25,120000,29.76,Ended
S-21284,TEM-24822-A,Cobalt site 1,G26 9BX,3462-0647-14024,RED,2025-11-15,15-Nov-26,155000,23.3,Live
S-21285,TEM-24822-A,Cobalt site 2,E6 8BX,99 3962 4007 014,RED,2025-01-12,2028-01-12,340000,19.18,Live
S-21286,TEM-86120-E,Eastbrook site 1,G11 6AT,83 8787 1828 334,RED,08/03/2026,2027-03-08,88000,30.59,Live
S-21287,TEM-93965-D,Wrenfield site 1,B28 8EP,5710586124978,RED Plus,30/11/2024,2027-11-30,2100000,25.54,Live
S-21288,TEM-93965-D,Wrenfield site 2,G23 1NT,7696108267664,RED,03/05/2025,2028-05-02,660000,26.21,Live
S-21289,TEM-76802-E,Kestrel site 1,M10 5AX,7902802691527,RED Plus,14/10/2023,13-Oct-26,120000,28.04,Live
S-21290,TEM-33766-D,Ingleby site 1,M25 6BW,4333594670388,RED,08/12/2026,08-Dec-27,340000,24.99,Live
S-21291,TEM-33766-D,Ingleby site 2,L24 4EW,4326-6392-89852,RED,02/05/2024,02-May-27,1250000,26.97,Live
S-21292,TEM-33766-D,Ingleby site 3,E6 4BP,5620493564079,RED,2026-11-25,25/11/2027,1250000,29.67,Live
S-21293,TEM-78158-A,Vantage site 1,B24 2JT,3958861685422,RED,06/05/2024,06-May-27,62500,21.3,Live
S-21294,TEM-78158-A,Vantage site 2,E17 8NP,49 1459 6775 716,RED,2026-04-15,2028-04-14,155000,23.43,Live
S-21295,TEM-19791-E,Orchard site 1,G12 8EX,11 2374 2748 049,RED,2026-01-12,2028-01-12,910000,22.28,Live
S-21296,TEM-71375-C,Rosedale site 1,N27 2JW,1680390226898,RED,21/04/2025,2028-04-20,210000,18.39,Live
S-21297,TEM-85435-G,Saltmarsh site 1,S10 6NX,4653775462577,RED Plus,2026-07-26,2027-07-26,62500,31.52,Live
S-21298,TEM-85435-G,Saltmarsh site 2,E22 7EP,3597447195197,RED,2025-10-14,14 October 2026,120000,30.22,Live
S-21299,TEM-56150-F,Pemberley site 1,B12 3BT,90 5693 3850 467,RED Plus,2025-12-06,06/12/2026,120000,22.14,Live
S-21300,TEM-95290-F,Atlas site 1,N20 8HX,8412000361713,RED,2024-03-03,03 March 2025,42000,17.79,Ended
S-21301,TEM-95290-F,Atlas site 2,M23 9JW,6427-9572-07547,RED,2023-05-13,12/05/2026,42000,18.06,Ended
S-21302,TEM-55722-B,Kestrel site 1,G15 2EP,9053330967454,RED Plus,2025-01-13,13-Jan-27,120000,21.56,Live
S-21303,TEM-57471-E,Exmoor site 1,M27 5NX,46 8804 0950 350,RED,2023-11-06,05-Nov-26,120000,31.99,Live
S-21304,TEM-57471-E,Exmoor site 2,S1 5NR,7019522278302,RED,2026-09-25,25/09/2027,1250000,20.68,Live
S-21305,TEM-44322-D,Ellerton site 1,E8 3HX,75 7763 8926 657,RED,2025-07-11,11 July 2027,120000,22.78,Live
S-21306,TEM-44322-D,Ellerton site 2,L27 5HP,5554-3634-10165,REDzero,27/10/2023,26 October 2026,62500,32.34,Live
S-21307,TEM-64180-E,Ullswater site 1,M6 4HR,0704053697969,RED,29/05/2026,2027-05-29,210000,19.42,Live
S-21308,TEM-57445-A,Northgate site 1,M27 9NR,0184441221792,RED,31/08/2023,30/08/2026,42000,18.65,OOC
S-21309,TEM-53641-A,Quenington site 1,L5 4HP,1412-5539-25891,RED,2025-02-27,2027-02-27,155000,22.97,Live
S-21310,TEM-99099-D,Ironbridge site 1,N12 6JX,63 5970 8232 587,RED,11/02/2025,11/02/2028,340000,26.35,Live
S-21311,TEM-67147-B,Maplin site 1,N26 4BT,5173-3352-07251,RED,2026-04-12,12-Apr-27,660000,22.89,Live
S-21312,TEM-21522-C,Bramble site 1,M1 3NT,4963635261550,RED Plus,2023-12-08,07 December 2025,1250000,25.42,Ended
S-21313,TEM-64977-F,Ottershaw site 1,G21 3BT,1368724508627,REDzero,2023-07-28,27 July 2026,62500,18.25,Ended
S-21314,TEM-64977-F,Ottershaw site 2,L25 7JR,9600039621883,RED Plus,2024-12-09,09 December 2025,2100000,25.14,Ended
S-21315,TEM-43334-B,Atlas site 1,L4 7HP,0748146152332,RED,2026-01-08,08-Jan-28,210000,32.39,Live
S-21316,TEM-43334-B,Atlas site 2,N6 5EX,92 0382 1179 140,RED,2026-11-28,28 November 2027,660000,25.11,Live
S-21317,TEM-33250-D,Ingleby site 1,N14 6HR,7642-6931-20615,RED,2022-11-14,13 November 2025,88000,30.26,Ended
S-21318,TEM-80449-F,Larkspur site 1,N20 3HT,42 8286 2470 132,RED,2024-05-10,2027-05-10,62500,30.04,Live
S-21319,TEM-11218-E,Saltmarsh site 1,S12 3NP,7675232374634,RED,2024-12-06,06-Dec-27,120000,25.03,Live
S-21320,TEM-11218-E,Saltmarsh site 2,B3 6NW,21 7603 5814 528,RED,2024-09-28,28-Sep-26,42000,23.97,Live
S-21321,TEM-56850-C,Zephyr site 1,G27 3BT,62 8542 7257 873,RED,21/02/2025,21-Feb-28,62500,21.93,Live
S-21322,TEM-52076-F,Summerton site 1,B22 7EP,72 8181 1011 911,RED,2026-03-04,04 March 2027,1250000,28.8,Live
S-21323,TEM-92690-E,Whitethorn site 1,B26 2ER,7347-5210-51455,RED,2025-01-14,14 January 2028,910000,29.04,Live
S-21324,TEM-72164-A,Bluewater site 1,B10 4HW,3158-5361-00302,REDzero,12/07/2024,2027-07-12,120000,18.67,Live
S-21325,TEM-28806-F,Selworthy site 1,G2 7AX,18 8539 4051 506,RED,2024-10-20,20 October 2026,340000,22.19,Live
S-21326,TEM-52078-E,Cedar site 1,S4 6BT,5585331554781,REDzero,20/01/2026,20 January 2027,120000,23.72,Live
S-21327,TEM-52078-E,Cedar site 2,M13 5BP,84 2855 6118 711,RED,13/09/2026,13-Sep-27,480000,22.0,Live
S-21328,TEM-93653-D,Ottershaw site 1,E8 9HP,71 0971 1199 350,RED,30/01/2025,2028-01-30,1250000,23.15,Live
S-21329,TEM-93653-D,Ottershaw site 2,B3 1HT,5788834608362,RED Plus,2026-01-13,2027-01-13,660000,26.92,Live
S-21330,TEM-93653-D,Ottershaw site 3,G30 5HD,2557-5338-66264,REDzero,10/04/2027,09-Apr-28,155000,25.46,Live
S-21331,TEM-29863-D,Rosedale site 1,G18 2JP,4907913139293,RED,11/02/2026,2028-02-11,2100000,27.47,Live
S-21332,TEM-29863-D,Rosedale site 2,M27 1NR,0781772895656,RED,09/05/2026,08/05/2028,340000,18.96,Live
S-21333,TEM-42312-F,Ottershaw site 1,N9 4AP,5438-6050-52316,RED,09/03/2027,2028-03-08,210000,24.22,Live
S-21334,TEM-46262-E,Umberside site 1,S9 3HR,5275-2693-31210,REDzero,2023-11-24,2026-11-23,2100000,28.09,Live
S-21335,TEM-90462-A,Jarrow site 1,M25 8BD,44 3633 4381 612,REDzero,2023-08-14,13 August 2026,1250000,17.8,OOC
S-21336,TEM-48470-C,Quenington site 1,M24 7EP,2535-7036-40807,RED,2024-09-12,12 September 2027,88000,19.68,Live
S-21337,TEM-48470-C,Quenington site 2,G6 8NT,1815082906918,REDzero,21/11/2024,2026-11-21,62500,18.44,Live
S-21338,TEM-57910-B,Bexley site 1,B13 2NT,6032361731928,RED,16/01/2027,16 January 2028,340000,27.63,Live
S-21339,TEM-57910-B,Bexley site 2,N28 6EP,6865-8403-45195,RED Plus,2026-07-12,12/07/2027,155000,30.27,Live
S-21340,TEM-57910-B,Bexley site 3,G18 7BT,1206695176995,RED,2023-12-08,07 December 2026,155000,30.82,Live
S-21341,TEM-73391-B,Cranleigh site 1,E18 7EX,6885476750142,REDzero,2023-04-19,18 April 2026,155000,26.75,Ended
S-21342,TEM-73391-B,Cranleigh site 2,N4 1HP,47 0471 7594 362,REDzero,04/07/2024,2025-07-04,340000,17.53,Ended
S-21343,TEM-73391-B,Cranleigh site 3,G22 9ER,6770727262274,RED Plus,04/08/2024,04/08/2025,480000,30.3,Ended
S-21344,TEM-12742-C,Nettlebed site 1,E17 6BD,08 6911 2823 892,RED,2025-06-22,2027-06-22,155000,29.15,Live
S-21345,TEM-51538-A,Orchard site 1,L17 4NW,74 7142 6905 480,RED,24/04/2026,24/04/2027,42000,26.06,Live
S-21346,TEM-51538-A,Orchard site 2,G1 2HT,8209674449237,REDzero,30/04/2025,2028-04-29,910000,25.97,Live
S-21347,TEM-66043-E,Nettlebed site 1,E17 4NX,78 0735 7762 874,RED,16/10/2024,16 October 2027,340000,30.74,Live
S-21348,TEM-58999-F,Quayside site 1,S22 7HX,7841-7563-13297,RED Plus,26/12/2024,26/12/2026,2100000,18.91,Live
S-21349,TEM-58999-F,Quayside site 2,S21 9HP,1186-9600-06554,RED,13/01/2025,13 January 2028,910000,19.84,Live
S-21350,TEM-58999-F,Quayside site 3,N7 4BR,10 2360 0994 767,RED Plus,07/03/2027,06 March 2028,155000,24.33,Live
S-21351,TEM-50299-D,Ironbridge site 1,B24 8JR,7704289392499,RED Plus,2023-12-17,16-Dec-26,660000,28.37,Live
S-21352,TEM-72622-G,Kestrel site 1,N24 6EX,53 4843 1257 158,RED Plus,2026-03-19,2027-03-19,88000,22.51,Live
S-21353,TEM-72622-G,Kestrel site 2,S25 6ER,24 9753 9855 619,REDzero,06/03/2026,05 March 2028,120000,29.21,Live
S-21354,TEM-72622-G,Kestrel site 3,N5 8AD,9939131538153,RED,2027-02-13,13 February 2028,480000,18.7,Live
S-21355,TEM-72622-G,Kestrel site 4,S26 5HT,93 3929 9656 459,RED Plus,07/05/2024,07-May-27,120000,19.77,Live
S-21356,TEM-72622-G,Kestrel site 5,B21 2JD,9361843620467,RED,12/11/2025,12-Nov-27,910000,26.82,Live
S-21357,TEM-72622-G,Kestrel site 6,M14 8HX,7671-3754-23007,RED,2024-04-18,2027-04-18,88000,24.27,Live
S-21358,TEM-72622-G,Kestrel site 7,S9 6AD,2704826012912,REDzero,14/09/2023,2026-09-13,340000,28.74,Live
S-21359,TEM-72622-G,Kestrel site 8,G11 9BT,25 0404 9308 899,RED,2024-06-05,05-Jun-27,210000,18.4,Live
S-21360,TEM-37577-D,Ellerton site 1,S26 6HW,3949-9681-52922,RED,14/01/2025,2028-01-14,88000,25.75,Live
S-21361,TEM-37577-D,Ellerton site 2,E27 6JW,9782-3196-46560,RED Plus,2024-03-23,23 March 2027,42000,24.67,Live
S-21362,TEM-37577-D,Ellerton site 3,E13 1AT,47 8456 8169 101,RED,2024-10-03,03 October 2027,88000,22.46,Live
S-21363,TEM-18411-G,Pemberley site 1,N5 5ET,07 6667 5255 635,REDzero,2025-10-08,2027-10-08,480000,31.38,Live
S-21364,TEM-18411-G,Pemberley site 2,B24 7BP,1736-5485-33299,RED,24/04/2025,24-Apr-27,88000,18.92,Live
S-21365,TEM-18411-G,Pemberley site 3,B29 8ND,9039646154707,RED,19/09/2024,19/09/2026,210000,25.52,Live
S-21366,TEM-38521-E,Silverbeck site 1,N20 7EX,9533-8947-37038,RED,20/04/2025,19 April 2028,480000,27.58,Live
S-21367,TEM-59955-E,Denholm site 1,L25 8ND,1331-8430-07276,RED,2023-10-25,2026-10-24,120000,32.29,Live
S-21368,TEM-59955-E,Denholm site 2,N17 8BW,02 1196 9500 679,RED,2024-09-06,06-Sep-26,910000,24.8,Live
S-21369,TEM-59955-E,Denholm site 3,E28 7HP,1360860700882,RED Plus,31/10/2025,31-Oct-26,910000,22.28,Live
S-21370,TEM-59955-E,Denholm site 4,N9 4EP,32 4454 9042 362,RED,18/08/2024,18-Aug-27,62500,31.19,Live
S-21371,TEM-59955-E,Denholm site 5,S17 9EW,2722-6962-08685,RED Plus,16/11/2025,16-Nov-26,62500,26.83,Live
S-21372,TEM-59955-E,Denholm site 6,G29 7NT,2258747748698,RED,09/03/2026,08/03/2028,62500,26.4,Live
S-21373,TEM-23759-C,Eastbrook site 1,L12 7HP,1221-2237-02319,RED,2024-08-20,20 August 2027,155000,25.16,Live
S-21374,TEM-42085-C,Bluewater site 1,L7 3HD,3913969373205,RED,24/05/2026,24/05/2027,910000,28.5,Live
S-21375,TEM-76616-F,Kingsmead site 1,L25 7NR,7875760595141,RED,2025-09-15,15-Sep-27,62500,29.49,Live
S-21376,TEM-93920-F,Pemberley site 1,L5 8NT,1056063095137,RED,2026-06-11,11 June 2027,210000,20.73,Live
S-21377,TEM-93920-F,Pemberley site 2,G3 2NP,77 4262 8388 443,RED,25/09/2025,25/09/2026,88000,24.18,Live
S-21378,TEM-93920-F,Pemberley site 3,B18 9HD,2382150667387,REDzero,18/05/2027,17/05/2028,155000,31.06,Live
S-21379,TEM-93920-F,Pemberley site 4,S6 4ED,4648-6841-16343,RED,01/09/2024,01-Sep-27,1250000,29.1,Live
S-21380,TEM-93920-F,Pemberley site 5,M19 1NR,1794-7043-03751,RED,2025-03-03,02/03/2028,660000,31.39,Live
S-21381,TEM-93920-F,Pemberley site 6,B28 1AD,7811597731672,RED,2024-10-28,28 October 2027,88000,30.21,Live
S-21382,TEM-34916-F,Ottershaw site 1,L1 1BR,58 2519 7641 092,RED,02/10/2025,02-Oct-26,120000,26.99,Live
S-21383,TEM-34916-F,Ottershaw site 2,N11 1ED,08 0205 7598 709,RED,29/04/2027,28 April 2028,120000,32.22,Live
S-21384,TEM-34916-F,Ottershaw site 3,G1 9NW,2408-8783-45321,RED Plus,2025-05-29,28 May 2028,910000,18.81,Live
S-21385,TEM-34916-F,Ottershaw site 4,B5 4AD,1605625307142,RED Plus,04/12/2023,2026-12-03,120000,21.19,Live
S-21386,TEM-34916-F,Ottershaw site 5,B12 7ND,7712388662585,RED,09/02/2026,2028-02-09,88000,23.58,Live
S-21387,TEM-34916-F,Ottershaw site 6,L19 7BR,4429151758391,RED Plus,17/11/2024,17-Nov-27,2100000,21.95,Live
S-21388,TEM-34916-F,Ottershaw site 7,N21 6JD,03 6337 1256 068,REDzero,2023-10-16,15 October 2026,1250000,23.89,Live
S-21389,TEM-34916-F,Ottershaw site 8,B30 9NP,5069974097042,REDzero,11/11/2023,10-Nov-26,480000,30.06,Live
S-21390,TEM-90780-E,Padstow site 1,B20 2NX,2340-7810-01220,RED,21/02/2025,2026-02-21,120000,18.33,Ended
S-21391,TEM-50708-B,Tanfield site 1,S21 7JX,18 4114 2700 804,RED,2024-12-01,01 December 2027,2100000,31.3,Live
S-21392,TEM-58894-A,Hollybush site 1,M9 2EP,3660161511089,RED,2026-01-04,04-Jan-27,62500,20.08,Live
S-21393,TEM-97659-C,Dunmore site 1,L16 8EP,2062013662194,REDzero,2023-10-17,2026-10-16,155000,31.35,Live
S-21394,TEM-93550-D,Atlas site 1,G11 9HR,8397-2564-54573,RED Plus,03/06/2024,03 June 2027,2100000,32.46,Live
S-21395,TEM-62690-B,Rosedale site 1,S29 2ER,2135766276307,RED Plus,20/11/2023,19/11/2026,88000,19.17,Live
S-21396,TEM-94731-F,Caldwell site 1,M15 3AX,47 6222 4605 947,RED,25/12/2024,25-Dec-27,62500,23.17,Live
S-21397,TEM-70323-F,Maplin site 1,E22 6AP,6111-2662-00291,REDzero,08/10/2023,07/10/2026,120000,28.87,Live
S-21398,TEM-62181-G,Ingleby site 1,E8 4NW,2665658761814,REDzero,01/04/2026,01/04/2027,1250000,22.96,Live
S-21399,TEM-19581-A,Yarrow site 1,S16 6NR,20 0163 2672 185,RED Plus,08/04/2027,07-Apr-28,340000,19.73,Live
S-21400,TEM-23320-G,Zetland site 1,S28 1AP,7188-3968-48841,RED,2025-10-05,05/10/2026,910000,29.33,Live
S-21401,TEM-23320-G,Zetland site 2,G24 3JW,3534507085127,RED,2025-01-01,01-Jan-27,340000,31.29,Live
S-21402,TEM-23320-G,Zetland site 3,E4 3BR,78 8825 3229 291,RED,01/11/2026,2027-11-01,1250000,24.43,Live
S-21403,TEM-23320-G,Zetland site 4,G3 7NP,62 2052 3863 671,RED,2024-12-29,29 December 2026,155000,22.99,Live
S-21404,TEM-23320-G,Zetland site 5,B23 4EP,0285-7769-32295,REDzero,2025-05-31,30/05/2028,88000,24.41,Live
S-21405,TEM-23320-G,Zetland site 6,B6 7HR,9740-1690-39143,REDzero,2026-01-14,14-Jan-28,120000,24.52,Live
S-21406,TEM-23320-G,Zetland site 7,E26 3JD,17 5059 5878 880,REDzero,2024-09-28,2026-09-28,480000,23.85,Live
S-21407,TEM-23320-G,Zetland site 8,M30 2ET,3589163428018,REDzero,2024-11-22,22 November 2027,62500,18.35,Live
S-21408,TEM-26318-E,Kelbrook site 1,G25 4AX,2847408836711,RED,02/01/2024,01/01/2027,340000,19.05,Live
S-21409,TEM-26318-E,Kelbrook site 2,N11 3AD,6644949470624,RED Plus,06/05/2027,05-May-28,210000,25.13,Live
S-21410,TEM-26318-E,Kelbrook site 3,E6 7JR,8657-7094-19484,RED,24/03/2027,2028-03-23,340000,25.86,Live
S-21411,TEM-26318-E,Kelbrook site 4,B10 8NW,0856-3133-38939,RED,09/12/2025,09/12/2026,62500,22.42,Live
S-21412,TEM-23142-B,Quenington site 1,S22 6NW,9848-9265-59134,RED,12/09/2025,12 September 2027,480000,30.91,Live
S-21413,TEM-10614-B,Zetland site 1,G9 8AX,48 4779 1136 808,RED,2027-03-10,09-Mar-28,42000,17.65,Live
S-21414,TEM-95191-G,Elmwood site 1,S29 9JP,6088336987489,RED,2024-11-28,28/11/2027,88000,20.03,Live
S-21415,TEM-23040-A,Jespersen site 1,N22 8AR,3091949934620,RED,17/09/2025,2026-09-17,120000,22.64,Live
S-21416,TEM-57875-C,Stanhope site 1,S30 9EP,0627753234390,RED Plus,01/05/2026,2027-05-01,2100000,23.56,Live
S-21417,TEM-57875-C,Stanhope site 2,B14 6JD,3094-3665-59681,RED,2023-09-25,24-Sep-26,1250000,20.34,Live
S-21418,TEM-57695-G,Farrier site 1,S28 6JW,48 2350 8432 408,REDzero,2025-05-17,17-May-27,88000,21.42,Live
S-21419,TEM-62074-G,Maplin site 1,G29 1EP,8080463364503,RED,2025-02-26,26-Feb-27,155000,32.27,Live
S-21420,TEM-66136-A,Rosedale site 1,M16 1HD,29 6018 5455 123,REDzero,2025-05-30,29/05/2028,910000,21.19,Live
S-21421,TEM-66136-A,Rosedale site 2,N8 3NT,1904284657867,RED,2024-07-31,31/07/2027,88000,22.13,Live
S-21422,TEM-66136-A,Rosedale site 3,S11 1ET,3929-5876-56796,RED,26/02/2025,26 February 2028,910000,22.8,Live
S-21423,TEM-26396-E,Selworthy site 1,B29 6JR,6809-6679-15316,RED,14/05/2025,14-May-27,340000,25.93,Live
S-21424,TEM-49829-G,Wrenfield site 1,L3 8AP,51 4661 7245 553,RED Plus,01/02/2024,31-Jan-27,2100000,20.7,Live
S-21425,TEM-49829-G,Wrenfield site 2,N13 1AR,0299-2129-88658,RED,28/07/2025,2027-07-28,2100000,27.53,Live
S-21426,TEM-49829-G,Wrenfield site 3,N25 3EW,7303-5797-27664,RED,29/04/2024,29 April 2027,910000,24.71,Live
S-21427,TEM-49829-G,Wrenfield site 4,N24 5NX,6413452698713,RED,23/11/2024,23/11/2026,62500,19.78,Live
S-21428,TEM-25322-B,Millpond site 1,B10 6BD,9632340406552,RED,2022-05-22,2025-05-21,120000,25.08,Ended
S-21429,TEM-20342-E,Kestrel site 1,G13 1JD,3017367050250,RED,2024-03-08,2027-03-08,88000,22.47,Live
S-21430,TEM-65790-F,Millpond site 1,B29 4NW,9748726054291,RED Plus,08/06/2026,08/06/2027,88000,31.72,Live
S-21431,TEM-72183-E,Tanfield site 1,E1 7JX,9099-2445-44564,RED,18/12/2024,18/12/2027,120000,25.96,Live
S-21432,TEM-81984-D,Summerton site 1,N10 4BW,3683263162039,RED Plus,23/12/2023,22/12/2026,2100000,20.86,Live
S-21433,TEM-77278-D,Rosedale site 1,L25 6BW,2868-2577-35542,RED Plus,21/10/2025,21-Oct-26,88000,26.61,Live
S-21434,TEM-51615-B,Dunmore site 1,S20 2JT,6180843475620,RED,10/12/2024,10/12/2026,155000,22.65,Live
S-21435,TEM-51615-B,Dunmore site 2,G15 4JD,4966391502672,RED,2025-09-02,02-Sep-27,62500,30.58,Live
S-21436,TEM-98156-D,Lowther site 1,N30 7AP,46 2001 7741 091,RED Plus,2025-11-12,12-Nov-27,120000,18.9,Live
S-21437,TEM-19586-C,Tredegar site 1,N21 9AW,0941-3546-85969,REDzero,24/03/2025,2026-03-24,2100000,24.84,Ended
S-21438,TEM-70466-A,Atlas site 1,S1 6AW,8216059803289,RED Plus,2025-06-01,01-Jun-27,62500,29.57,Live
S-21439,TEM-42045-F,Halewood site 1,S27 5JR,32 9866 4987 340,RED,12/10/2024,2026-10-12,910000,27.9,Live
S-21440,TEM-27195-B,Padstow site 1,M4 5JX,02 6216 8548 508,RED,2024-12-24,24/12/2026,480000,20.17,Live
S-21441,TEM-81540-F,Stanhope site 1,N28 3BW,9391-1092-15725,RED,2024-08-27,2027-08-27,62500,24.19,Live
S-21442,TEM-81540-F,Stanhope site 2,E26 2EP,9506-6290-70387,RED,22/02/2025,22 February 2027,42000,23.67,Live
S-21443,TEM-81540-F,Stanhope site 3,M9 6HR,6266-8533-69352,RED,2024-12-06,06 December 2026,1250000,29.51,Live
S-21444,TEM-81540-F,Stanhope site 4,G25 2BW,1028-9371-17450,REDzero,2026-04-30,2028-04-29,2100000,27.22,Live
S-21445,TEM-81540-F,Stanhope site 5,G25 1BD,47 7895 7336 083,REDzero,10/04/2026,2027-04-10,155000,26.52,Live
S-21446,TEM-81540-F,Stanhope site 6,G16 6EW,3259694172015,RED,20/05/2026,20/05/2027,2100000,21.22,Live
S-21447,TEM-81540-F,Stanhope site 7,G11 1AR,0951867047432,RED,2024-10-30,2026-10-30,480000,23.89,Live
S-21448,TEM-81540-F,Stanhope site 8,N2 1HD,7448-5478-39704,REDzero,04/03/2025,04/03/2027,155000,32.25,Live
S-21449,TEM-73488-G,Bluewater site 1,B25 5ET,7403-5166-61494,RED,27/11/2024,27 November 2026,88000,21.17,Live
S-21450,TEM-22988-C,Silverbeck site 1,S12 4AP,91 9294 8702 239,RED,26/10/2024,26/10/2026,2100000,31.97,Live
S-21451,TEM-22988-C,Silverbeck site 2,L14 3ED,5327818254774,RED,2025-04-19,19 April 2027,155000,26.31,Live
S-21452,TEM-22988-C,Silverbeck site 3,E16 1ER,1608596520764,RED,2023-10-10,2026-10-09,660000,19.54,Live
S-21453,TEM-22988-C,Silverbeck site 4,M3 8EX,4658034136860,RED,20/08/2024,2027-08-20,2100000,23.69,Live
S-21454,TEM-22988-C,Silverbeck site 5,N3 4ER,4703-7845-25293,RED Plus,07/05/2026,06-May-28,480000,19.89,Live
S-21455,TEM-22988-C,Silverbeck site 6,S27 3NT,3774210773976,RED Plus,03/04/2025,02/04/2028,1250000,22.23,Live
S-21456,TEM-22988-C,Silverbeck site 7,G22 3ER,6235114821876,RED,2024-11-18,18-Nov-27,480000,29.57,Live
S-21457,TEM-22988-C,Silverbeck site 8,N16 6AD,03 8505 4464 343,RED Plus,2027-01-19,2028-01-19,120000,20.7,Live
S-21458,TEM-85422-A,Tanfield site 1,L18 4ND,1924317491422,RED,25/03/2024,25-Mar-27,660000,18.33,Live
S-21459,TEM-88620-A,Larkspur site 1,S3 7JT,0812727401377,RED,2026-06-12,12-Jun-27,2100000,19.47,Live
S-21460,TEM-88620-A,Larkspur site 2,B21 6NR,25 1864 3535 267,RED Plus,2025-09-06,06/09/2026,88000,21.9,Live
S-21461,TEM-88620-A,Larkspur site 3,B24 3ER,6882-9207-63028,REDzero,2024-09-13,13 September 2027,42000,25.18,Live
S-21462,TEM-88620-A,Larkspur site 4,E7 8NX,0892-9035-55129,RED,06/09/2025,06/09/2026,62500,22.23,Live
S-21463,TEM-88620-A,Larkspur site 5,B4 7EW,6100402976722,RED,2026-07-21,21 July 2027,62500,31.73,Live
S-21464,TEM-88620-A,Larkspur site 6,G28 1AW,72 1194 8811 254,REDzero,2025-05-02,02 May 2027,2100000,18.65,Live
S-21465,TEM-67346-E,Summerton site 1,N8 3HP,9762-8425-78911,RED Plus,21/05/2027,20-May-28,2100000,26.77,Live
S-21466,TEM-67346-E,Summerton site 2,S30 4BP,08 7240 7828 045,RED,07/01/2024,06-Jan-27,155000,29.87,Live
S-21467,TEM-71472-E,Farrier site 1,G1 6EX,7391082024827,REDzero,04/12/2022,03-Dec-25,1250000,24.53,Ended
S-21468,TEM-71472-E,Farrier site 2,L16 4HW,9956-6774-02521,REDzero,2024-02-11,10/02/2025,120000,30.68,Ended
S-21469,TEM-71472-E,Farrier site 3,N14 4EP,0089659681088,RED,2021-11-12,11-Nov-24,62500,27.28,Ended
S-21470,TEM-71472-E,Farrier site 4,S16 7JW,3231692518752,RED,2024-05-06,06/05/2025,340000,20.76,Ended
S-21471,TEM-81438-B,Ironbridge site 1,E5 8HD,0455775575431,REDzero,2022-05-08,07 May 2025,660000,19.87,Ended
S-21472,TEM-81438-B,Ironbridge site 2,B13 8BR,2850-5619-38362,RED,2023-10-28,27-Oct-25,480000,18.82,Ended
S-21473,TEM-84446-B,Saltmarsh site 1,G23 9HW,4084858451438,RED,21/12/2023,20/12/2026,42000,24.29,Live
S-21474,TEM-53150-D,Kingsmead site 1,N8 5HP,5543-6151-56867,RED,2027-02-18,18-Feb-28,910000,24.62,Live
S-21475,TEM-54962-G,Ironbridge site 1,B16 7JT,59 9179 0350 671,RED,03/11/2024,2026-11-03,480000,26.49,Live
S-21476,TEM-54962-G,Ironbridge site 2,B13 2BT,89 0787 1982 867,RED,2027-04-20,2028-04-19,910000,30.56,Live
S-21477,TEM-54962-G,Ironbridge site 3,N9 8BD,4426871708940,REDzero,22/10/2024,22 October 2027,155000,20.59,Live
S-21478,TEM-54962-G,Ironbridge site 4,N21 1HW,8781-9804-15249,RED,2024-12-31,31 December 2027,660000,23.36,Live
S-21479,TEM-54962-G,Ironbridge site 5,M26 4AD,0909-1344-91948,RED Plus,09/08/2024,09-Aug-27,62500,31.96,Live
S-21480,TEM-54962-G,Ironbridge site 6,G10 8ND,43 9154 7303 720,RED,2026-05-11,10 May 2028,120000,29.67,Live
S-21481,TEM-76213-E,Denholm site 1,S19 5BD,3348-4569-41722,RED,2025-02-09,2027-02-09,62500,28.7,Live
S-21482,TEM-76213-E,Denholm site 2,E13 2JX,6747750441007,REDzero,2024-10-15,15 October 2027,660000,26.27,Live
S-21483,TEM-77907-D,Norbury site 1,S30 4HP,4724-4090-91049,REDzero,26/11/2021,25-Nov-24,88000,19.14,Ended
S-21484,TEM-11342-C,Stanhope site 1,G18 9ND,5840618632392,RED,2024-06-30,30 June 2026,2100000,29.76,Ended
S-21485,TEM-68312-D,Lowther site 1,E19 7JW,89 1418 8979 395,RED,2024-12-29,29-Dec-26,42000,24.37,Live
S-21486,TEM-15304-G,Foxglove site 1,M21 7JP,3096562175074,RED,16/06/2025,16 June 2027,480000,27.39,Live
